Date,Open,High,Low,Close,Adj Close,Volume
2019-08-28,7.398000,7.402900,7.394400,7.397700,7.397700,0
2019-08-29,7.398700,7.411300,7.396000,7.398700,7.398700,0
2019-08-30,7.399200,7.404300,7.397700,7.399200,7.399200,0
2019-09-02,7.400600,7.405700,7.396000,7.400600,7.400600,0
2019-09-03,7.402000,7.406300,7.400300,7.401300,7.401300,0
2019-09-04,7.405000,7.405700,7.400000,7.405000,7.405000,0
2019-09-05,7.402000,7.404000,7.396400,7.402000,7.402000,0
2019-09-06,7.401300,7.403800,7.399000,7.401300,7.401300,0
2019-09-09,7.400000,7.403600,7.393600,7.253800,7.253800,0
2019-09-10,7.395700,7.397700,7.386700,7.395000,7.395000,0
2019-09-11,null,null,null,null,null,null
2019-09-12,null,null,null,null,null,null
2019-09-13,null,null,null,null,null,null
2019-09-16,null,null,null,null,null,null
2019-09-17,null,null,null,null,null,null
2019-09-18,null,null,null,null,null,null
2019-09-19,null,null,null,null,null,null
2019-09-20,null,null,null,null,null,null
2019-09-23,null,null,null,null,null,null
2019-09-24,null,null,null,null,null,null
2019-09-25,null,null,null,null,null,null
2019-09-26,null,null,null,null,null,null
2019-09-27,null,null,null,null,null,null
2019-09-30,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-10-02,null,null,null,null,null,null
2019-10-03,null,null,null,null,null,null
2019-10-04,null,null,null,null,null,null
2019-10-07,null,null,null,null,null,null
2019-10-08,7.419700,7.423700,7.416300,7.419700,7.419700,0
2019-10-09,null,null,null,null,null,null
2019-10-10,7.424100,7.427000,7.421800,7.424100,7.424100,0
2019-10-11,7.426400,7.429700,7.421900,7.423400,7.423400,0
2019-10-14,7.431000,7.432000,7.415300,7.431000,7.431000,0
